Name,Technique,Rule Type,Severity,Source,Guide
Account or Group Discovery via Built-In Tools,"T1069, T1069.001, T1069.002, T1087, T1087.001, T1087.002",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_of_accounts_or_groups_via_builtin_tools.toml),
Active Directory Discovery using AdExplorer,"T1016, T1018, T1069, T1069.002, T1087, T1087.002, T1482",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_ad_explorer_execution.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ad-explorer-execution.md)
AdFind Command Activity,"T1016, T1018, T1069, T1069.002, T1087, T1087.002, T1482",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_adfind_command_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-adfind-command-activity.md)
AWS Discovery API Calls via CLI from a Single Resource,T1580,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_multiple_discovery_api_calls_via_cli.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-multiple-discovery-api-calls-via-cli.md)
AWS EC2 Deprecated AMI Discovery,T1580,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_ec2_deprecated_ami_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ec2-deprecated-ami-discovery.md)
AWS EC2 Multi-Region DescribeInstances API Calls,T1580,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_ec2_multi_region_describe_instances.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ec2-multi-region-describe-instances.md)
AWS EC2 User Data Retrieval for EC2 Instance,"T1552, T1552.005, T1580",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_ec2_userdata_request_for_ec2_instance.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ec2-userdata-request-for-ec2-instance.md)
AWS IAM Principal Enumeration via UpdateAssumeRolePolicy,"T1087, T1087.004, T1110",Threshold,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_iam_principal_enumeration_via_update_assume_role_policy.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-iam-principal-enumeration-via-update-assume-role-policy.md)
AWS S3 Bucket Enumeration or Brute Force,"T1530, T1619, T1657",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_aws_s3_bucket_enumeration_or_brute_force.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-aws-s3-bucket-enumeration-or-brute-force.md)
AWS S3 Unauthenticated Bucket Access by Rare Source,"T1485, T1530, T1619",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/collection_s3_unauthenticated_bucket_access_by_rare_source.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/collection-s3-unauthenticated-bucket-access-by-rare-source.md)
AWS Service Quotas Multi-Region GetServiceQuota Requests,T1580,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_servicequotas_multi_region_service_quota_requests.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-servicequotas-multi-region-service-quota-requests.md)
AWS SSM Inventory Reconnaissance by Rare User,"T1538, T1580",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_ssm_inventory_reconnaissance.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ssm-inventory-reconnaissance.md)
AWS STS GetCallerIdentity API Called for the First Time,"T1087, T1087.004",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_new_terms_sts_getcalleridentity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-new-terms-sts-getcalleridentity.md)
Deprecated - PowerShell Script with Discovery Capabilities,"T1007, T1012, T1049, T1057, T1059, T1059.001, T1082, T1083, T1087, T1087.001, T1087.002, T1135, T1201, T1482, T1518, T1518.001, T1615",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_posh_generic.toml),
Deprecated - Unusual Discovery Activity by User,,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_signal_unusual_user_host.toml),
Discovery Command Output Written to Suspicious File,"T1074, T1074.001, T1082",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/collection_discovery_output_written_to_suspicious_file.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/collection-discovery-output-written-to-suspicious-file.md)
Discovery of Domain Groups,T1069,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_of_domain_groups.toml),
Discovery of Internet Capabilities via Built-in Tools,"T1016, T1016.001",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_internet_capabilities.toml),
DNS Request for IP Lookup Service via Unsigned Binary,"T1016, T1016.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_dns_request_for_ip_lookup_service.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-dns-request-for-ip-lookup-service.md)
Docker Socket Enumeration,T1613,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_docker_socket_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-docker-socket-discovery.md)
Entra ID Sign-in BloodHound Suite User-Agent Detected,"T1069, T1069.003, T1082, T1087, T1087.004, T1201, T1526, T1580, T1673",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/discovery_bloodhound_user_agents_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-bloodhound-user-agents-detected.md)
Entra ID Sign-in TeamFiltration User-Agent Detected,"T1069, T1069.003, T1082, T1087, T1087.004, T1110, T1110.003, T1201, T1526, T1580, T1673",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/discovery_entra_id_teamfiltration_user_agents_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-entra-id-teamfiltration-user-agents-detected.md)
Enumerating Domain Trusts via DSQUERY.EXE,"T1018, T1482",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_enumerating_domain_trusts_via_dsquery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-enumerating-domain-trusts-via-dsquery.md)
Enumerating Domain Trusts via NLTEST.EXE,"T1018, T1482",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_enumerating_domain_trusts_via_nltest.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-enumerating-domain-trusts-via-nltest.md)
Enumeration Command Spawned via WMIPrvSE,"T1016, T1016.001, T1018, T1047, T1057, T1087, T1518",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_enumeration_via_wmiprvse.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-enumeration-via-wmiprvse.md)
Enumeration of Administrator Accounts,"T1069, T1069.001, T1069.002, T1087, T1087.001, T1087.002",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_admin_recon.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-admin-recon.md)
Enumeration of Kernel Modules via Proc,T1082,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_kernel_module_enumeration_via_proc.toml),
Enumeration of Privileged Local Groups Membership,"T1069, T1069.001",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_privileged_localgroup_membership.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-privileged-localgroup-membership.md)
Enumeration of Users or Groups via Built-in Commands,"T1069, T1069.001, T1087, T1087.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_users_domain_built_in_commands.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-users-domain-built-in-commands.md)
ESXI Discovery via Find,T1518,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_esxi_software_via_find.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-esxi-software-via-find.md)
ESXI Discovery via Grep,T1518,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_esxi_software_via_grep.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-esxi-software-via-grep.md)
External IP Address Discovery via Curl,"T1016, T1016.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_external_ip_address_discovery_via_curl.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-external-ip-address-discovery-via-curl.md)
External IP Lookup from Non-Browser Process,"T1016, T1016.001, T1614",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_post_exploitation_external_ip_lookup.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-post-exploitation-external-ip-lookup.md)
Full Disk Access Permission Check,"T1083, T1548, T1548.006",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_full_disk_access_check.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-full-disk-access-check.md)
GitHub Authentication Token Access via Node.js,"T1528, T1552, T1613",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/credential_access_gh_auth_via_nodejs.toml),
Group Policy Discovery via Microsoft GPResult Utility,T1615,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_group_policy_object_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-group-policy-object-discovery.md)
Hping Process Activity,T1082,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_linux_hping_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-linux-hping-activity.md)
Kernel Instrumentation Discovery via kprobes and tracefs,"T1014, T1082",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_kernel_instrumentation_discovery_via_kprobes_and_tracefs.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kernel-instrumentation-discovery-via-kprobes-and-tracefs.md)
Kernel Seeking Activity,"T1014, T1082",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_kernel_seeking.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kernel-seeking.md)
Kernel Unpacking Activity,"T1014, T1082",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_kernel_unpacking.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kernel-unpacking.md)
Kubeconfig File Discovery,T1613,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_kubeconfig_file_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kubeconfig-file-discovery.md)
Kubectl Configuration Discovery,T1613,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_kubectl_configuration_discovery.toml),
Kubectl Permission Discovery,T1613,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_kubectl_permission_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kubectl-permission-discovery.md)
Kubectl Workload and Cluster Discovery,"T1069, T1613",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_kubectl_workload_and_cluster_discovery.toml),
Kubelet Certificate File Access Detected via Defend for Containers,T1613,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/discovery_kubelet_certificate_file_access.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kubelet-certificate-file-access.md)
Kubelet Pod Discovery Detected via Defend for Containers,T1613,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/discovery_kubelet_pod_discovery_via_builtin_utilities.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-kubelet-pod-discovery-via-builtin-utilities.md)
Kubernetes Denied Service Account Request via Unusual User Agent,T1613,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/discovery_denied_service_account_request.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-denied-service-account-request.md)
Kubernetes Direct API Request via Curl or Wget,"T1059, T1059.004, T1613",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_kubernetes_direct_api_request_via_curl_or_wget.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-kubernetes-direct-api-request-via-curl-or-wget.md)
Kubernetes Potential Endpoint Permission Enumeration Attempt by Anonymous User Detected,T1613,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/discovery_endpoint_permission_enumeration_by_anonymous_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-endpoint-permission-enumeration-by-anonymous-user.md)
Kubernetes Potential Endpoint Permission Enumeration Attempt Detected,T1613,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/discovery_endpoint_permission_enumeration_by_user_and_srcip.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-endpoint-permission-enumeration-by-user-and-srcip.md)
Kubernetes Service Account Secret Access,"T1528, T1552, T1613",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/credential_access_kubernetes_service_account_secret_access.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/credential-access-kubernetes-service-account-secret-access.md)
Kubernetes Suspicious Self-Subject Review via Unusual User Agent,T1613,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/discovery_suspicious_self_subject_review.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-self-subject-review.md)
Linux System Information Discovery,T1082,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_linux_system_information_discovery.toml),
Linux System Information Discovery via Getconf,T1082,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_getconf_execution.toml),
M365 SharePoint Search for Sensitive Content,"T1213, T1213.002, T1530, T1619",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/discovery_sharepoint_sensitive_term_search.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-sharepoint-sensitive-term-search.md)
Manual Mount Discovery via /etc/exports or /etc/fstab,T1082,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_manual_mount_discovery_via_exports_or_fstab.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-manual-mount-discovery-via-exports-or-fstab.md)
Mounting Hidden or WebDav Remote Shares,"T1021, T1021.002, T1078, T1078.003, T1087, T1087.001, T1087.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/lateral_movement_mount_hidden_or_webdav_share_net.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/lateral-movement-mount-hidden-or-webdav-share-net.md)
Network Traffic Capture via CAP_NET_RAW,T1040,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_capnetraw_capability.toml),
Nping Process Activity,T1046,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_linux_nping_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-linux-nping-activity.md)
Peripheral Device Discovery,T1120,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_peripheral_device.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-peripheral-device.md)
Pluggable Authentication Module (PAM) Version Discovery,"T1082, T1543, T1556",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_pam_version_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-pam-version-discovery.md)
Polkit Version Discovery,T1082,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_polkit_version_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-polkit-version-discovery.md)
Potential Direct Kubelet Access via Process Arguments Detected via Defend for Containers,"T1059, T1059.004, T1613",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/execution_potential_direct_kubelet_access_via_process_args.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-potential-direct-kubelet-access-via-process-args.md)
Potential Enumeration via Active Directory Web Service,T1018,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_active_directory_webservice.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-active-directory-webservice.md)
Potential Memory Seeking Activity,T1057,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_potential_memory_seeking_activity.toml),
Potential Network Scan Detected,"T1046, T1595, T1595.001",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/discovery_potential_port_scan_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-potential-port-scan-detected.md)
Potential Network Scan Executed From Host,T1046,Threshold,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_ping_sweep_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ping-sweep-detected.md)
Potential Network Share Discovery,"T1039, T1135",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_net_share_discovery_winlog.toml),
Potential Network Sweep Detected,"T1046, T1595, T1595.001",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/discovery_potential_network_sweep_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-potential-network-sweep-detected.md)
Potential Port Scanning Activity from Compromised Host,T1046,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_port_scanning_activity_from_compromised_host.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-port-scanning-activity-from-compromised-host.md)
Potential Subnet Scanning Activity from Compromised Host,T1046,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_subnet_scanning_activity_from_compromised_host.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-subnet-scanning-activity-from-compromised-host.md)
Potential SYN-Based Port Scan Detected,"T1046, T1595, T1595.001",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/discovery_potential_syn_port_scan_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-potential-syn-port-scan-detected.md)
PowerShell Script with Password Policy Discovery Capabilities,"T1059, T1059.001, T1201",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_posh_password_policy.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-posh-password-policy.md)
PowerShell Share Enumeration Script,"T1039, T1059, T1059.001, T1106, T1135",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_posh_invoke_sharefinder.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-posh-invoke-sharefinder.md)
PowerShell Suspicious Discovery Related Windows API Functions,"T1039, T1059, T1059.001, T1069, T1069.001, T1087, T1087.001, T1106, T1135, T1482",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_posh_suspicious_api_functions.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-posh-suspicious-api-functions.md)
