Name,Technique,Rule Type,Severity,Source,Guide
Account Password Reset Remotely,"T1098, T1531",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_remote_password_reset.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-remote-password-reset.md)
Attempt to Deactivate an Okta Application,T1489,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_okta_attempt_to_deactivate_okta_application.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-okta-attempt-to-deactivate-okta-application.md)
Attempt to Delete an Okta Application,T1489,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_okta_attempt_to_delete_okta_application.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-okta-attempt-to-delete-okta-application.md)
Attempt to Modify an Okta Application,,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_okta_attempt_to_modify_okta_application.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-okta-attempt-to-modify-okta-application.md)
Attempt to Revoke Okta API Token,T1531,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_attempt_to_revoke_okta_api_token.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-attempt-to-revoke-okta-api-token.md)
AWS CloudTrail Log Updated,"T1530, T1565, T1565.001",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudtrail_logging_updated.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-cloudtrail-logging-updated.md)
AWS CloudWatch Log Group Deletion,"T1485, T1562, T1562.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudwatch_log_group_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-cloudwatch-log-group-deletion.md)
AWS CloudWatch Log Stream Deletion,"T1485, T1562, T1562.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudwatch_log_stream_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-cloudwatch-log-stream-deletion.md)
AWS EC2 EBS Snapshot Access Removed,"T1485, T1490",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_ec2_ebs_snapshot_access_removed.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-ec2-ebs-snapshot-access-removed.md)
AWS EC2 Encryption Disabled,"T1565, T1565.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_ec2_disable_ebs_encryption.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-ec2-disable-ebs-encryption.md)
AWS EFS File System Deleted,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_efs_filesystem_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-efs-filesystem-deleted.md)
AWS EventBridge Rule Disabled or Deleted,T1489,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_aws_eventbridge_rule_disabled_or_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-aws-eventbridge-rule-disabled-or-deleted.md)
AWS IAM Deactivation of MFA Device,"T1531, T1556, T1556.006",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_iam_deactivate_mfa_device.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-iam-deactivate-mfa-device.md)
AWS IAM Group Deletion,T1531,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_iam_group_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-iam-group-deletion.md)
AWS KMS Customer Managed Key Disabled or Scheduled for Deletion,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_kms_cmk_disabled_or_scheduled_for_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-kms-cmk-disabled-or-scheduled-for-deletion.md)
AWS RDS DB Instance or Cluster Deleted,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_rds_instance_cluster_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-rds-instance-cluster-deletion.md)
AWS RDS DB Instance or Cluster Deletion Protection Disabled,T1485,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_rds_instance_cluster_deletion_protection_disabled.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-rds-instance-cluster-deletion-protection-disabled.md)
AWS RDS Snapshot Deleted,T1485,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_rds_snapshot_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-rds-snapshot-deleted.md)
AWS S3 Bucket Configuration Deletion,"T1070, T1490, T1562, T1562.008",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/defense_evasion_s3_bucket_configuration_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-s3-bucket-configuration-deletion.md)
AWS S3 Bucket Enumeration or Brute Force,"T1530, T1619, T1657",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_aws_s3_bucket_enumeration_or_brute_force.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-aws-s3-bucket-enumeration-or-brute-force.md)
AWS S3 Bucket Expiration Lifecycle Configuration Added,"T1070, T1485, T1485.001, T1562, T1562.008",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/defense_evasion_s3_bucket_lifecycle_expiration_added.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-s3-bucket-lifecycle-expiration-added.md)
AWS S3 Object Encryption Using External KMS Key,T1486,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_s3_object_encryption_with_external_key.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-s3-object-encryption-with-external-key.md)
AWS S3 Object Versioning Suspended,T1490,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_s3_object_versioning_disabled.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-s3-object-versioning-disabled.md)
AWS S3 Static Site JavaScript File Uploaded,"T1565, T1565.001",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_s3_static_site_js_file_uploaded.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-s3-static-site-js-file-uploaded.md)
AWS S3 Unauthenticated Bucket Access by Rare Source,"T1485, T1530, T1619",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/collection_s3_unauthenticated_bucket_access_by_rare_source.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/collection-s3-unauthenticated-bucket-access-by-rare-source.md)
AWS SNS Rare Protocol Subscription by User,"T1496, T1496.004, T1530, T1567",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/exfiltration_sns_rare_protocol_subscription_by_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/exfiltration-sns-rare-protocol-subscription-by-user.md)
AWS SNS Topic Created by Rare User,"T1496, T1496.004, T1608",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/resource_development_sns_topic_created_by_rare_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/resource-development-sns-topic-created-by-rare-user.md)
AWS SNS Topic Message Publish by Rare User,"T1496, T1496.004, T1534, T1567",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/lateral_movement_sns_topic_message_publish_by_rare_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/lateral-movement-sns-topic-message-publish-by-rare-user.md)
Azure Compute Restore Point Collection Deleted by Unusual User,T1490,New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_azure_compute_restore_point_collection_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-azure-compute-restore-point-collection-deleted.md)
Azure Compute Restore Point Collections Deleted,T1490,Threshold,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_azure_compute_restore_point_collections_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-azure-compute-restore-point-collections-deleted.md)
Azure Compute Snapshot Deletion by Unusual User and Resource Group,"T1485, T1490",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_azure_compute_vm_snapshot_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-azure-compute-vm-snapshot-deletion.md)
Azure Compute Snapshot Deletions by User,"T1485, T1490",Threshold,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_azure_compute_vm_snapshot_deletions.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-azure-compute-vm-snapshot-deletions.md)
Azure Key Vault Modified,,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_key_vault_modified_by_unusual_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-key-vault-modified-by-unusual-user.md)
Azure Kubernetes Services (AKS) Kubernetes Pods Deleted,"T1489, T1529",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_kubernetes_pod_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-kubernetes-pod-deleted.md)
Azure Recovery Services Resource Deleted,T1490,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/impact_azure_recovery_services_deletion.toml),
Azure Resource Group Deleted,"T1485, T1562, T1562.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_resources_resource_group_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-resources-resource-group-deletion.md)
Azure Storage Account Deletion by Unusual User,"T1485, T1489",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_azure_storage_account_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-azure-storage-account-deletion.md)
Azure Storage Account Deletions by User,"T1485, T1489",Threshold,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/impact_azure_storage_account_deletion_multiple.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-azure-storage-account-deletion-multiple.md)
Backup Deletion with Wbadmin,"T1485, T1490",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_deleting_backup_catalogs_with_wbadmin.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-deleting-backup-catalogs-with-wbadmin.md)
Decline in host-based traffic,"T1499, T1562",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_low_count_events_for_a_host_name.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-low-count-events-for-a-host-name.md)
Deprecated - M365 Security Compliance Potential Ransomware Activity,T1486,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/impact_security_compliance_potential_ransomware_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-security-compliance-potential-ransomware-activity.md)
Deprecated - M365 Security Compliance Unusual Volume of File Deletion,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/impact_security_compliance_unusual_volume_of_file_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-security-compliance-unusual-volume-of-file-deletion.md)
Deprecated - M365 Security Compliance User Restricted from Sending Email,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/initial_access_security_compliance_user_restricted_from_sending_email.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-security-compliance-user-restricted-from-sending-email.md)
Detection Alert on a Process Exhibiting CPU Spike,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/impact_alert_from_a_process_with_cpu_spike.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-alert-from-a-process-with-cpu-spike.md)
Excessive AWS S3 Object Encryption with SSE-C,T1486,Threshold,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_s3_excessive_object_encryption_with_sse_c.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-s3-excessive-object-encryption-with-sse-c.md)
GCP IAM Role Deletion,T1531,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/gcp/impact_gcp_iam_role_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-gcp-iam-role-deletion.md)
GCP Service Account Deletion,T1531,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/gcp/impact_gcp_service_account_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-gcp-service-account-deleted.md)
GCP Service Account Disabled,T1531,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/gcp/impact_gcp_service_account_disabled.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-gcp-service-account-disabled.md)
GCP Storage Bucket Deletion,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/gcp/impact_gcp_storage_bucket_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-gcp-storage-bucket-deleted.md)
Github Activity on a Private Repository from an Unusual IP,"T1059, T1195, T1195.002",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/github/impact_github_repository_activity_from_unusual_ip.toml),
GitHub PAT Access Revoked,T1531,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/impact_github_pat_access_revoked.toml),
GitHub Private Repository Turned Public,"T1020, T1567, T1567.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/github/exfiltration_github_private_repository_turned_public.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/exfiltration-github-private-repository-turned-public.md)
